date,time[h],time[m],time[s],pressed
2019-06-15,23,32,10880,'f' 
2019-06-15,23,32,11021,'a' 
2019-06-15,23,32,11099,'r' 
2019-06-15,23,32,11255,Key.space 
2019-06-15,23,32,11396,'f' 
2019-06-15,23,32,11536,'a' 
2019-06-15,23,32,11662,'r' 
2019-06-15,23,32,12115,Key.space 
2019-06-15,23,32,12271,'w' 
2019-06-15,23,32,12630,Key.backspace 
2019-06-15,23,32,12911,'a' 
2019-06-15,23,32,13021,'w' 
2019-06-15,23,32,13208,'a' 
2019-06-15,23,32,13396,'y' 
2019-06-15,23,32,13693,Key.space 
2019-06-15,23,32,14333,'b' 
2019-06-15,23,32,14427,'e' 
2019-06-15,23,32,14552,'h' 
2019-06-15,23,32,14630,'i' 
2019-06-15,23,32,14771,'n' 
2019-06-15,23,32,14896,'d' 
2019-06-15,23,32,15021,Key.space 
2019-06-15,23,32,15130,'t' 
2019-06-15,23,32,15224,'h' 
2019-06-15,23,32,15349,'e' 
2019-06-15,23,32,15443,Key.space 
2019-06-15,23,32,15552,'w' 
2019-06-15,23,32,15724,'o' 
2019-06-15,23,32,15771,'r' 
2019-06-15,23,32,15911,'d' 
2019-06-15,23,32,15911,Key.space 
2019-06-15,23,32,16068,'m' 
2019-06-15,23,32,16224,'o' 
2019-06-15,23,32,16365,'u' 
2019-06-15,23,32,16521,'n' 
2019-06-15,23,32,16630,'t' 
2019-06-15,23,32,16771,'a' 
2019-06-15,23,32,16833,'i' 
2019-06-15,23,32,16974,'n' 
2019-06-15,23,32,17036,'s' 
2019-06-15,23,32,17193,Key.space 
2019-06-15,23,32,17271,'f' 
2019-06-15,23,32,17365,'a' 
2019-06-15,23,32,17490,'r' 
2019-06-15,23,32,17599,Key.space 
2019-06-15,23,32,17677,'f' 
2019-06-15,23,32,17786,'r' 
2019-06-15,23,32,17865,'o' 
2019-06-15,23,32,17958,'m' 
2019-06-15,23,32,18146,Key.space 
2019-06-15,23,32,18224,'t' 
2019-06-15,23,32,18349,'h' 
2019-06-15,23,32,18411,'e' 
2019-06-15,23,32,18521,Key.space 
2019-06-15,23,32,18583,'c' 
2019-06-15,23,32,18661,'o' 
2019-06-15,23,32,18725,'u' 
2019-06-15,23,32,18849,'n' 
2019-06-15,23,32,18959,'t' 
2019-06-15,23,32,19146,'r' 
2019-06-15,23,32,19255,'i' 
2019-06-15,23,32,19333,'e' 
2019-06-15,23,32,19505,'s' 
2019-06-15,23,32,19615,Key.space 
2019-06-15,23,32,19708,'c' 
2019-06-15,23,32,19771,'o' 
2019-06-15,23,32,19911,'k' 
2019-06-15,23,32,20068,'a' 
2019-06-15,23,32,20116,'l' 
2019-06-15,23,32,20208,'i' 
2019-06-15,23,32,20302,'a' 
2019-06-15,23,32,20411,Key.space 
2019-06-15,23,32,20505,'a' 
2019-06-15,23,32,20584,'n' 
2019-06-15,23,32,20693,'d' 
2019-06-15,23,32,20818,Key.space 
2019-06-15,23,32,20896,'c' 
2019-06-15,23,32,21036,'o' 
2019-06-15,23,32,21083,'n' 
2019-06-15,23,32,21255,'s' 
2019-06-15,23,32,22083,'o' 
2019-06-15,23,32,22255,'n' 
2019-06-15,23,32,22380,'a' 
2019-06-15,23,32,22552,'n' 
2019-06-15,23,32,22755,'t' 
2019-06-15,23,32,22849,'i' 
2019-06-15,23,32,23005,'a' 
2019-06-15,23,32,23146,Key.space 
2019-06-15,23,32,23319,'t' 
2019-06-15,23,32,23411,'h' 
2019-06-15,23,32,23537,'e' 
2019-06-15,23,32,23583,'r' 
2019-06-15,23,32,23677,Key.space 
2019-06-15,23,32,23786,'l' 
2019-06-15,23,32,23880,'i' 
2019-06-15,23,32,23896,'v' 
2019-06-15,23,32,23990,'e' 
2019-06-15,23,32,24068,Key.space 
2019-06-15,23,32,24224,'t' 
2019-06-15,23,32,24302,'h' 
2019-06-15,23,32,24411,'e' 
2019-06-15,23,32,24458,Key.space 
2019-06-15,23,32,24646,'b' 
2019-06-15,23,32,24724,'l' 
2019-06-15,23,32,24958,'i' 
2019-06-15,23,32,25115,'n' 
2019-06-15,23,32,25208,'d' 
2019-06-15,23,32,25350,Key.space 
2019-06-15,23,32,25443,'t' 
2019-06-15,23,32,25536,'e' 
2019-06-15,23,32,25755,'x' 
2019-06-15,23,32,25959,'t' 
2019-06-15,23,32,26115,'s' 
2019-06-15,23,32,26271,Key.space 
2019-06-15,23,32,26349,'s' 
2019-06-15,23,32,26536,'e' 
2019-06-15,23,32,26724,'p' 
2019-06-15,23,32,26802,'r' 
2019-06-15,23,32,26943,'a' 
2019-06-15,23,32,27115,'t' 
2019-06-15,23,32,27240,'e' 
2019-06-15,23,32,27427,'d' 
2019-06-15,23,32,27568,Key.space 
2019-06-15,23,32,27615,'t' 
2019-06-15,23,32,27740,'h' 
2019-06-15,23,32,27818,'e' 
2019-06-15,23,32,27943,'y' 
2019-06-15,23,32,28083,Key.space 
2019-06-15,23,32,28161,'l' 
2019-06-15,23,32,28271,'i' 
2019-06-15,23,32,28365,'v' 
2019-06-15,23,32,28490,'e' 
2019-06-15,23,32,28505,Key.space 
2019-06-15,23,32,28630,'i' 
2019-06-15,23,32,28724,'n' 
2019-06-15,23,32,28943,Key.space 
2019-06-15,23,32,29161,'b' 
2019-06-15,23,32,29271,'o' 
2019-06-15,23,32,29943,'o' 
2019-06-15,23,32,30177,'k' 
2019-06-15,23,32,30772,'m' 
2019-06-15,23,32,30927,'a' 
2019-06-15,23,32,31428,'r' 
2019-06-15,23,32,31615,'k' 
2019-06-15,23,32,31896,'s' 
2019-06-15,23,32,32552,'g' 
2019-06-15,23,32,32693,'r' 
2019-06-15,23,32,32818,'o' 
2019-06-15,23,32,32896,'v' 
2019-06-15,23,32,33005,'e' 
2019-06-15,23,32,33083,Key.space 
2019-06-15,23,32,33208,'r' 
2019-06-15,23,32,33271,'i' 
2019-06-15,23,32,33411,'g' 
2019-06-15,23,32,33584,'h' 
2019-06-15,23,32,33661,'t' 
